65,1,2,1,2,2,1,590
130,1,4,3,3,4,1,1590
48,2,2,0,1,1,2,245
62,2,2,0,1,1,2,220
47,2,1,1,1,2,1,415
35,3,1,0,0,1,2,260
79,1,2,1,1,2,1,370
113,1,3,2,2,4,1,1060
120,1,3,3,3,4,1,1200
155,2,3,1,2,2,2,1380
123,2,4,1,2,2,1,950
125,1,4,2,3,3,1,950
72,2,3,1,1,2,1,570
57,3,2,1,1,2,2,512
180,1,4,2,3,3,1,995
44,1,2,0,1,1,2,420
75,1,2,1,1,2,1,495
108,2,4,1,2,2,1,690
140,4,4,0,1,1,2,650
123,1,4,1,2,2,1,870
180,1,4,2,3,3,1,950
125,1,4,2,3,3,1,995
214,1,4,4,3,5,1,950
236,1,4,3,4,4,1,2950
210,1,4,1,1,2,2,1200
221,3,4,1,1,2,2,1290
217,1,4,3,3,4,1,2300
65,1,2,1,2,2,1,590
130,1,4,3,3,4,1,1590
48,2,2,0,1,1,2,245
47,1,2,0,1,1,1,256
62,2,2,0,1,1,2,220
35,3,1,0,0,1,2,260
47,3,1,1,1,2,1,415
57,4,2,1,1,2,2,480
79,1,2,1,1,2,1,370
101,1,2,1,1,2,2,1250
113,1,3,2,2,4,1,1060
80,1,3,0,1,1,2,360
72,2,3,1,1,2,1,380
116,1,3,1,1,2,2,570
180,1,3,3,3,4,1,1200
120,1,3,3,4,3,1,1500
155,2,3,1,2,2,2,1380
57,3,2,1,1,2,2,512
